date,time,pool_id,pool_address,tvl_usd,volume_24h_usd,volume_7d_usd,apr_7d,reserve_0,reserve_1,total_share
2026-01-13,16:17:27,"ampLUNA-LUNA",terra1tsx0dmasjvd45k6tdywzv77d5t9k3lpzyuleavuah77pg3lwm9cq4469pm,74141.55,,,,434827809165,834401128926,497763208631
2026-01-13,16:17:27,"ampROAR-ROAR",terra1d8ap3zyd6tfnruuuwvs0t927lr4zwptruhulfwnxjpqzudvyn8usfgl8ze,0,0,0,0,88720825355455561,97216730539698797,91145941851302327
2026-01-13,16:17:27,"ampWHALE-WHALE",terra1ntx595elf3ukxcd0wy76h24rzztcv2p6n3wmfd358ks95prv42fs9mn63n,316.01,0,0,0,1166985783198,1277617746910,1147077523558
2026-01-13,16:17:27,"ATOM-axlUSDC",terra17l9xj8f6m8smumhn8wgpgnswr3mu60wfkcm6pjc69drxp0t398rs7335vn,15.47,0,0.26,0.2623,2952871,7731543,3271108
2026-01-13,16:17:27,"ATOM-dATOM",terra1aa8nurhuk7rwedhjyzptggypuxd3y66qp4nsx6ph240g37esdm7qyheqkd,2052.1,0,17.08,0.1298,783246103,622966761,693861804
2026-01-13,16:17:27,"ATOM-LUNA",terra1frfcj4xhvx0emkup4vel5jun9zun0797j5yhn7ant3r4jzy9mkxqzcwev6,15263.39,619.63,1270.95,1.299,2917599791,85748648682,10630097684
2026-01-13,16:17:27,"ATOM-stATOM",terra1c439uc3qdlfuqncxae7l07nsdgjtu45g98yhn5ydjn2866nsw3ws0e0vte,0,0,0,0,1215,825,1000
2026-01-13,16:17:27,"bLUNA-LUNA",terra1j5znhs9jeyty9u9jcagl3vefkvzwqp6u9tq9a3e5qrz4gmj2udyqp0z0xc,183542.32,,,,1260346167560,2065615397602,1451017989018
2026-01-13,16:17:27,"bLUNA-SOLID",terra1shd0wd8atmevjtryzcqzu6sxsmc4hjek43kxqsz08wxwk4nt0wvsav9004,0,0,0,0,1483,857,1057
2026-01-13,16:17:27,"bWHALE-WHALE",terra1j9jmsplecj9ay2py27953p84nfmv7f6ce75ms5fleyhd0aecpc7q0hgmsa,352.16,0,0,0,1562815817570,1552338068021,1499599087648
2026-01-13,16:17:27,"CAPA-LUNA",terra15rzp38yq2cqy2jnewc9vgzqguf3t2q0gqpv9evg8tckrtqp8x44qezhthc,402.41,0,0,0,397149602809,4528793193,41553348912
2026-01-13,16:17:27,"DINHEIROS-LUNA",terra1k45gtuv5ctphpctjlhg4l02wqehnj92z29ctffnyxnkrdmrd34nqxema3v,0.53,0,0,0,1,6000000,2449
2026-01-13,16:17:27,"LUNA-arbLUNA",terra1wttdzwa6pdegtrdjdw49y0pd3dd8qd3cqn89j6t9v978lx05rr8sew5jyq,1148.39,,,,12924183560,4780325926,7826858374
2026-01-13,16:17:27,"LUNA-ASTRO",terra1hvntefafgn05llkqyl6uxx6j0jjwmqjtxqdrwdm43s9tkzx7xkfqkcl7h6,2.72,0,0,0,14437634,696215017,98766928
2026-01-13,16:17:27,"LUNA-ASTRO.cw20",terra1e6t37fgjkxrzdx2s95fyq6jdra5s82720vhtmxvx4yhcvnsrey4ssmrya6,13.64,0,0,0,153541578,1666729235,440091012
2026-01-13,16:17:27,"LUNA-axlUSDC",terra1ck8nkz35sa8mmqez3lqrm77vh36n2gd2f0dxjde4uemkwsjt22pqgk49zj,170.76,0,0.87,0.0795,969091644,84667737,91975901
2026-01-13,16:17:27,"LUNA-EURe",terra1gny66hmejvrkra39cn7r8f7y7yg06hy3cv2xehpxraqfgjtdtpnqjtmu53,12774.17,,,,143762657538,10887799734,37963445922
2026-01-13,16:17:27,"LUNA-INJ",terra1q2gd6kc7nt8xct94chrlsqtpxfs9rve0j76lquce624y5zp85cdseshh85,880.42,12.44,22.02,0.3902,4950498818,80685484508986609554,615519759557113
2026-01-13,16:17:27,"LUNA-ROAR",terra126w5m24usxydxn0tjqd73k8uw06r42wttahf9t0cjyhmljlqhrdsjucx45,63.7,0.89,0.89,0.218,716846627,232251505796602,392372158617
2026-01-13,16:17:27,"LUNA-SOLID",terra18fved7svlqq9q9h23cg4uw97lllmg7fa03psevczy20ayhdwrm3sznjeh5,52.02,0,,,585419650,49209672,163695513
2026-01-13,16:17:27,"LUNA-stLUNA",terra12exvyhctk6ggqvzj2tlhsv769llctntf5zdj9erz6q2uq4h8hn8q5k5xpg,1.34,0,0,0,15026283,8816515,11433944
2026-01-13,16:17:27,"LUNA-SWTH",terra1nll8xy7m2dyac3sww2tg7dqj8s0mlak68drgtzd9gh4yvnvpplhsn3sxnv,1.78,0,0,0,8909232,175553171796,1240170883
2026-01-13,16:17:27,"LUNA-USDC",terra16a45v4k74w3yy30utfxdsekdlnks27sv48sn2suaf4wt7u6meq8scz75mx,119621.97,2161.87,8260.84,1.0773,673507142157,59789917842,175003196428
2026-01-13,16:17:27,"LUNA-USDt",terra1wymgwg90ry2w04avy899ucmuuak7w8n3xw2msmw2jf9rfugre0ssenx4hn,7540.54,111.5,246.58,0.5101,42423551539,3773746302,11595780907
2026-01-13,16:17:27,"LUNA-wBNB",terra1m5juz238n27dd24d9e3kacmqax8gu7j5ee9hhfczpl52f3n7adaqudk2c9,0,0,0,0,7605,140,1005
2026-01-13,16:17:27,"LUNA-WHALE",terra1zushwxgqdkg22mtv9p946yp53r6den6lv427esjaadua3ftzyjpsqgtl5z,517.23,1,1,0.0302,3165394386,2700198534715,1780727094
2026-01-13,16:17:27,"LUNA-wSOL",terra12u7a9wkjqrkhxjcxx70uhfx8y49j4lclfnet2smw9agpnrv9chps27n9mh,9.64,0,0,0,108512893,22233822,47616649
2026-01-13,16:17:27,"LUNA-wstETH",terra12hs75vlyd38zjvhegsqzr8uvz2r764fdy8mhqw0qg0s2mv858yvstwmsf8,31783.3,131.36,171.58,0.0842,178078959905,4101773271219702279,825440652970790
2026-01-13,16:17:27,"MOAR-ROAR",terra1j0ackj0wru4ndj74e3mhhq6rffe63y8xd0e56spqcjygv2r0cfsqxr36k6,0,0,0,0,185940140998,305295955713,234517569467
2026-01-13,16:17:27,"SWTH-rSWTH",terra1nezkc3lxdxv26hqwy44jr7j9typtk39pns254ev52s9guqc2zsyqx7hvc9,0,0,0,0,1019,982,1000
2026-01-13,16:17:27,"USDC-EURe",terra1t9uvn05g0hdlx2nnqug3lt3pkla4sfdj0n0xnd66kmwvyt25y65sk37cej,2107.35,4.59,10.53,0.0779,2107814290,1800753725,1928629879
2026-01-13,16:17:27,"USDC-SOLID",terra1wje8lj3372njwuw8t4scmyp94t5pyxxh89tsnkrfyxghqh6aunzqz4a9k3,215.37,1.25,,,215417797,204258493,205345712
2026-01-13,16:17:27,"USDC-USDt",terra178ca7z2w6346wlkmxwpw80s2a5fmas9q28xlzegkt4c4rdam67aql5fgxj,113423.81,75.17,156.03,0.0215,55816830645,57661873316,113226771471
2026-01-13,16:17:27,"wBTC.axl-LUNA",terra1xhhr7x8yhv9p336t3squh5f8t2827ttrevnwrwwvqrp88nkt665qy0w07c,0.65,0,0,0,438,2763396,28010
2026-01-13,16:17:27,"wBTC.osmo-LUNA",terra1aysexulsnuxna62m5rlnuzfcvct3df93gd4q0kkjtjcqsvv93s5sd0fyd2,30995.39,298.49,690.81,0.3477,16728799,173665855079,1574843318
2026-01-13,16:17:27,"wBTC.osmo-wBTC.axl",terra13ywdferm4jtcperal9png3cvhtmar5se9nu4r49k7vujrakwy9zqa3rhwe,89986.12,0,2.53,0.0004,48915701,47804053,44233087
2026-01-13,16:17:27,"wETH-wstETH",terra12252e02w0k5yv9mryctth4j3y2sdas0xremw0jznzwal5v3xeqjst7q537,62.76,0,0,0,1987324,16130837514288321,178388360888
2026-01-13,16:17:27,"WHALE-axlUSDC",terra1qdu4g5zxxtmwsd95v8vjslq5874nkcull7ejycm0gy2v7p5qc67qenkf8t,563.37,0.86,0.86,0.0238,2968732504468,304013449,7113230154
2026-01-13,16:17:27,"WHALE-ROAR",terra1g8clplgv3ah405qjrf9yhkgur9zqlqayt8ftrvkuzsm5am7pr9ls7s26rx,591.15,0,0,0,6764486284634,2604679032915805,123272145524513
2026-01-13,16:17:27,"wKWEEN-LUNA",terra12zxl99upqdyee3u7gungesaswuv3mt2e340ll5wa4kyqnj9a6ugsl7fy8c,17.17,0,0,0,20876591748,193191107,1976621377
